100,100,100,100,100,100,386,387,387,387,387,388,100,100,100,100,100,100,100,100,100,100,100,100
120,120,120,120,120,120,406,407,407,407,407,408,120,120,120,120,120,120,120,120,120,120,120,120
100,100,100,100,20,20,223,224,102,102,243,244,100,100,386,387,387,388,100,100,100,100,100,100
120,120,120,120,20,29,121,122,66,122,122,123,120,120,406,407,407,408,120,120,120,120,120,120
100,100,100,100,20,20,0,0,0,0,0,0,20,20,101,102,243,244,100,100,100,100,100,100
120,120,120,120,20,20,0,0,0,0,0,0,20,29,121,66,122,123,120,120,120,120,120,120
100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,216,216,216
120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,236,236,236
0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,235,236,236,236
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,236,236,236
100,100,100,100,426,427,427,428,0,0,0,0,0,0,0,0,0,0,20,63,100,100,100,100
120,120,120,120,121,66,122,123,0,0,0,0,0,0,0,0,0,0,20,63,120,120,120,120
100,100,60,60,0,0,0,0,0,0,20,20,426,427,427,428,0,0,20,63,100,100,100,100
120,120,80,80,0,0,0,0,0,0,20,29,121,66,122,123,0,0,20,63,120,120,120,120
100,100,100,100,20,20,20,20,0,0,0,0,0,0,0,0,0,0,20,63,100,100,100,100
120,120,120,120,63,63,63,63,0,0,0,0,0,0,0,0,0,0,20,63,120,120,120,120
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
